name,code,location
Thai Star Airlines,T9,Thailand
Thalys,2H,Belgium
Thomas Cook Airlines,FQ,Belgium
Thomas Cook Airlines,MT,United Kingdom
Thomsonfly,BY,United Kingdom
Tiara Air,3P,Aruba
Tiger Airways,TR,Singapore
Titan Airways,ZT,United Kingdom
Tol-Air Services,TI,United States
Trans States Airlines,AX,United States
Trans World Airlines,TW,United States
TransAsia Airways,GE,Taiwan
Transaero Airlines,UN,Russia
Transavia Holland,HV,Netherlands
Transwest Air,9T,Canada
Travelsky Technology,1E,China
Tropic Air,PM,Belize
Tuninter,UG,Tunisia
Tunisair,TU,Tunisia
Turan Air,3T,Azerbaijan
Turkish Airlines,TK,Turkey
Turkmenistan Airlines,T5,Turkmenistan
Twin Jet,T7,France
UM Airlines,UF,Ukraine
US Airways,US,United States
US Helicopter Corporation,UH,United States
USA3000 Airlines,U5,United States
UTair Aviation,UT,Russia
Ukrainian Cargo Airways,6Z,Ukraine
United Airlines,UA,United States
United Feeder Service,U2,United States
United Parcel Service,5X,United States
Ural Airlines,U6,Russia
Uzbekistan Airways,HY,Uzbekistan
V Australia Airlines,VA,Australia
VASP,VP,Brazil
VIA Rail Canada,2R,Canada
VIM Airlines,NN,Russia
VLM Airlines,VG,Belgium
VRG Linhas Aereas,RG,Brazil
Valuair,VF,Singapore
Varig Logística,LC,Brazil
Viaggio Air,VM,Bulgaria
Vietnam Airlines,VN,Vietnam
Virgin Atlantic Airways,VS,United Kingdom
Virgin Express,TV,Belgium
Virgin Nigeria Airways,VK,Nigeria
Viva Macau,ZG,Macao
Vladivostok Air,XF,Russia
Volaris,Y4,Mexico
Volga-Dnepr Airlines,VI,Russia
Wayraperú,7W,Peru
WebJet Linhas Aéreas,WJ,Brazil
Welcome Air,2W,Austria
West Coast Air,8O,Canada
WestJet,WS,Canada
Widerøe,WF,Norway
Wind Jet,IV,Italy
Wings Air,1W,Indonesia
Wizz Air,W6,Bulgaria
World Airways,WO,United States
Worldspan,1P,United States
XL Airways France,SE,France
Xiamen Airlines,MF,China
Xtra Airways,XP,United States
Yamal Airlines,YL,Russia
Yangtze River Express,Y8,China
Yellow Air Taxi,Y0,United States
Yemenia,IY,Yemen
Yunnan Airlines,3Q,China
Yuzhmashavia,2N,Ukraine
Zambian Airways,Q3,Zambia
Zimex Aviation,C4,Switzerland
Zip,3J,Canada
Zoom Airlines,Z4,Canada
bmi,BD,United Kingdom
bmibaby,WW,United Kingdom
buzz,UK,\N
dba,DI,Germany
