code,name,city,region
IXK,Keshod,Keshod,India
KTN,Ketchikan Intl,Ketchikan,United States
MEI,Key Field,Meridian MS,United States
EYW,Key West Intl,Key West,United States
NQX,Key West Nas,Key West,United States
HJR,Khajuraho,Khajuraho,India
KHM,Khamti,Khamti,Burma
HMA,Khanty Mansiysk Airport,Khanty-Mansiysk,Russia
KRT,Khartoum,Khartoum,Sudan
KHS,Khasab,Khasab,Oman
HTG,Khatanga Airport,Khatanga,Russia
UUS,Khomutovo,Yuzhno-sakhalinsk,Russia
KKC,Khon Kaen,Khon Kaen,Thailand
KHD,Khoram Abad Airport,\N,Iran
NAK,Khorat,Nakhon Ratchasima,Thailand
HVD,Khovd Airport,\N,Mongolia
KGD,Khrabrovo,Kaliningrad,Russia
LBD,Khudzhand Airport,Khudzhand,Tajikistan
KDD,Khuzdar Airport,Khuzdar,Pakistan
OXF,Kidlington,Oxford,United Kingdom
KEL,Kiel Holtenau,Kiel,Germany
KFA,Kiffa,Kiffa,Mauritania
KGL,Kigali Intl,Kigali,Rwanda
TKQ,Kigoma Airport,Kigoma,Tanzania
TNJ,Kijang,Tanjung Pinang,Indonesia
KRI,Kikori Airport,Kikori,Papua New Guinea
LDI,Kikwetu Airport,Lindi,Tanzania
KKW,Kikwit,Kikwit,Congo (Kinshasa)
KIO,Kili Airport,Kili Island,Marshall Islands
JRO,Kilimanjaro Intl,Kilimanjaro,Tanzania
HKN,Kimbe Airport,Hoskins,Papua New Guinea
KIM,Kimberley,Kimberley,South Africa
YLC,Kimmirut Airport,Kimmirut,Canada
YKY,Kindersley,Kindersley,Canada
KND,Kindu,Kindu,Congo (Kinshasa)
DHA,King Abdulaziz Ab,Dhahran,Saudi Arabia
JED,King Abdulaziz Intl,Jeddah,Saudi Arabia
GIZ,King Abdullah Bin Abdulaziz,Gizan,Saudi Arabia
DMM,King Fahd Intl,Dammam,Saudi Arabia
OMF,King Hussein,Mafraq,Jordan
KNS,King Island Airport,\N,Australia
RUH,King Khaled Intl,Riyadh,Saudi Arabia
HBT,King Khaled Military City,King Khalid Mil.city,Saudi Arabia
AKN,King Salmon,King Salmon,United States
KIF,Kingfisher Lake Airport,Kingfisher Lake,Canada
IGM,Kingman Airport,Kingman,United States
KGC,Kingscote Airport,Kingscote,Australia
YGK,Kingston,Kingston,Canada
NQI,Kingsville Nas,Kingsville,United States
IRK,Kirksville Regional Airport,Kirksville,United States
KOI,Kirkwall,Kirkwall,United Kingdom
KRN,Kiruna,Kiruna,Sweden
FKI,Kisangani Simisini,Kisangani,Congo (Kinshasa)
KIH,Kish Island,Kish Island,Iran
KMU,Kisimayu,Kismayu,Somalia
KIS,Kisumu,Kisumu,Kenya
KTD,Kitadaito,Kitadaito,Japan
KTL,Kitale,Kitale,Kenya
KIT,Kithira,Kithira,Greece
KTT,Kittila,Kittila,Finland
UNG,Kiunga Airport,Kiunga,Papua New Guinea
KWY,Kiwayu (Mkononi) Airport,Kiwayu,Kenya
MJF,Kjaerstad,Mosjoen,Norway
KRS,Kjevik,Kristiansand,Norway
LMT,Klamath Falls Airport,Klamath Falls,United States
KLZ,Kleinsee,Kleinsee,South Africa
VVO,Knevichi,Vladivostok,Russia
RKD,Knox County Regional Airport,Rockland,United States
UKB,Kobe,Kobe,Japan
ZNV,Koblenz Winningen,Koblenz,Germany
KCZ,Kochi,Kochi,Japan
ADQ,Kodiak,Kodiak,United States
KGP,Kogalym International,Kogalym,Russia
KCT,Koggala Airport,\N,Sri Lanka
KKD,Kokoda Airport,Kokoda,Papua New Guinea
KOV,Kokshetau Airport,Kokshetau,Kazakhstan
KLH,Kolhapur,Kolhapur,India
CGN,Koln Bonn,Cologne,Germany
SVX,Koltsovo,Sverdlovsk,Russia
KWZ,Kolwezi,Kolwezi,Congo (Kinshasa)
KMQ,Komatsu,Kanazawa,Japan
KXK,Komsomolsk-on-Amur Airport,Komsomolsk-on-Amur,Russia
KOA,Kona Intl At Keahole,Kona,United States
UND,Konduz,Kunduz,Afghanistan
KNQ,Kone,Kone,New Caledonia
KON,Kontum Airport,Kontum,Vietnam
KYA,Konya,Konya,Turkey
KUT,Kopitnari,Kutaisi,Georgia
HGO,Korhogo,Korhogo,Cote d'Ivoire
KRL,Korla Airport,Korla,China
KXF,Koro Island Airport,Koro Island,Fiji
PCN,Koromiko,Picton,New Zealand
KGS,Kos,Kos,Greece
KSC,Kosice,Kosice,Slovakia
KSA,Kosrae,Kosrae,Micronesia
KSN,Kostanay West Airport,Kostanay,Kazakhstan
KTQ,Kostanay,Kustanay,Kazakhstan
BKI,Kota Kinabalu Intl,Kota Kinabalu,Malaysia
KTU,Kota,Kota,India
KSZ,Kotlas Airport,Kotlas,Russia
ACC,Kotoka Intl,Accra,Ghana
KOU,Koulamoutou Airport,Koulamoutou,Gabon
KOC,Koumac,Koumac,New Caledonia
KWM,Kowanyama Airport,\N,Australia
KBV,Krabi,Krabi,Thailand
KRF,Kramfors Solleftea,Kramfors,Sweden
PKV,Kresty,Pskov,Russia
KID,Kristianstad,Kristianstad,Sweden
VXO,Kronoberg,Vaxjo,Sweden
MQP,Kruger Mpumalanga International Airport,Mpumalanga,South Africa
KOK,Kruunupyy,Kruunupyy,Finland
KUL,Kuala Lumpur Intl,Kuala Lumpur,Malaysia
KUA,Kuantan,Kuantan,Malaysia
KUG,Kubin Airport,\N,Australia
KCH,Kuching Intl,Kuching,Malaysia
KUD,Kudat Airport,Kudat,Malaysia
AKF,Kufra,Kufra,Libya
YBB,Kugaaruk,Pelly Bay,Canada
YCO,Kugluktuk,Coppermine,Canada
NTT,Kuini Lavenia Airport,Niuatoputapu,Tonga
SVP,Kuito,Kuito,Angola
KUU,Kullu Manali,Kulu,India
KUS,Kulusuk,Kulusuk,Greenland
KMJ,Kumamoto,Kumamoto,Japan
KMS,Kumasi Airport,\N,Ghana
UEO,Kumejima,Kumejima,Japan
NRK,Kungsangen,Norrkoeping,Sweden
KUB,Kunsan Ab,Kunsan,South Korea
KUV,Kunsan Air Base,Kunsan,South Korea
KNX,Kununurra,Kununurra,Australia
KUO,Kuopio,Kuopio,Finland
KCA,Kuqa Airport,Kuqa,China
URE,Kuressaare,Kuressaare,Estonia
KRO,Kurgan Airport,Kurgan,Russia
URS,Kursk East Airport,Kursk,Russia
KBY,Kurumoch,Samara,Russia
KUH,Kushiro Airport,\N,Japan
YVP,Kuujjuaq,Quujjuaq,Canada
YGW,Kuujjuarapik Airport,Kuujjuarapik,Canada
KAO,Kuusamo,Kuusamo,Finland
KWI,Kuwait Intl,Kuwait,Kuwait
KSU,Kvernberget,Kristiansund,Norway
KYP,Kyaukpyu,Kyaukpyu,Burma
KYZ,Kyzyl Airport,Kyzyl,Russia
KZO,Kzyl-Orda,Kzyl-Orda,Kazakhstan
LAQ,La Abraq Airport,Al Bayda',Libya
GUA,La Aurora,Guatemala City,Guatemala
MAR,La Chinita Intl,Maracaibo,Venezuela
LCL,La Coloma,La Coloma,Cuba
DSD,La DÃ©sirade Airport,Grande Anse,Guadeloupe
LSC,La Florida,La Serena,Chile
TCO,La Florida,Tumaco,Colombia
LFR,La Fria,La Fria,Venezuela
AGF,La Garenne,Agen,France
GMZ,La Gomera Airport,\N,Spain
YGL,La Grande Riviere,La Grande Riviere,Canada
LGA,La Guardia,New York,United States
GLJ,La Jagua Airport,GarzÃ³n,Colombia
LHX,La Junta Muni,La Junta,United States
XQP,La Managua,Quepos,Costa Rica
SAP,La Mesa Intl,San Pedro Sula,Honduras
LTT,La MÃ´le Airport,La MÃ´le,France
MZL,La Nubia,Manizales,Colombia
SPC,La Palma,Santa Cruz De La Palma,Spain
LPD,La Pedrera Airport,La Pedrera,Colombia
LPG,La Plata,La Plata,Argentina
IRJ,La Rioja,La Rioja,Argentina
BVE,La Roche,Brive,France
YVC,La Ronge,La Ronge,Canada
ZLT,La TabatiÃ¨re Airport,La TabatiÃ¨re,Canada
XAC,La Teste De Buch,Arcachon,France
NOU,La Tontouta,Noumea,New Caledonia
LSE,LaCrosse Municipal,LaCrosse,United States
RLG,Laage,Laage,Germany
LBS,Labasa Airport,\N,Fiji
LMG,Labasa,Lambasa,Fiji
LEK,Labe,Labe,Guinea
LBU,Labuan,Labuan,Malaysia
YAX,Lac Du Bonnet Airport,Lac Du Bonnet,Canada
SKF,Lackland Afb Kelly Fld Annex,San Antonio,United States
FBK,Ladd Aaf,Fort Wainwright,United States
LAY,Ladysmith,Ladysmith,South Africa
LFT,Lafayette Rgnl,Lafayette,United States
LOO,Laghouat,Laghouat,Algeria
ING,Lago Argentino Airport,El Calafate,Argentina
LDU,Lahad Datu,Lahad Datu,Malaysia
YNT,Laishan,Yantai,China
TER,Lajes,Lajes (terceira Island),Portugal
LCH,Lake Charles Rgnl,Lake Charles,United States
LEL,Lake Evella Airport,\N,Australia
LMY,Lake Murray Airport,Lake Murray,Papua New Guinea
TVL,Lake Tahoe Airport,South Lake Tahoe,United States
LKB,Lakeba Island Airport,Lakeba Island,Fiji
NEL,Lakehurst Naes,Lakehurst,United States
LLI,Lalibella,Lalibella,Ethiopia
LPM,Lamap Airport,Lamap,Vanuatu
LAA,Lamar Muni,Lamar,United States
LBQ,Lambarene,Lambarene,Gabon
STL,Lambert St Louis Intl,St. Louis,United States
LNB,Lamen Bay Airport,Lamen Bay,Vanuatu
SUF,Lamezia Terme,Lamezia,Italy
LDN,Lamidanda,Lamidanda,Nepal
LPT,Lampang,Lampang,Thailand
LMP,Lampedusa,Lampedusa,Italy
LAU,Lamu Manda,Lamu,Kenya
LNY,Lanai,Lanai,United States
LNS,Lancaster Airport,Lancaster,United States
LEQ,Land's End / St. Just Airport,Land's End,United Kingdom
JLD,Landskrona,Landskrona,Sweden
GOT,Landvetter,Gothenborg,Sweden
LGK,Langkawi Intl,Pulau,Malaysia
LFI,Langley Afb,Hampton,United States
TOS,Langnes,Tromso,Norway
LRT,Lann Bihoue,Lorient,France
LAI,Lannion,Lannion,France
YLH,Lansdowne House Airport,Lansdowne House,Canada
HLA,Lanseria,Johannesburg,South Africa
KYD,Lanyu,Lanyu,Taiwan
ACE,Lanzarote,Lanzerote,Spain
LAO,Laoag Intl,Laoag,Philippines
LPP,Lappeenranta,Lappeenranta,Finland
LRR,Lar Airport,\N,Iran
LAR,Laramie Regional Airport,Laramie,United States
LRD,Laredo Intl,Laredo,United States
LRA,Larisa,Larissa,Greece
LCA,Larnaca,Larnaca,Cyprus
SDQ,Las Americas Intl,Santo Domingo,Dominican Republic
CZU,Las Brujas,Corozal,Colombia
LRU,Las Cruces Intl,Las Cruces,United States
LHS,Las Heras Airport,Las Heras,Argentina
LVS,Las Vegas Muni,Las Vegas,United States
QLA,Lasham,Lasham,United Kingdom
LSH,Lashio,Lashio,Burma
QLT,Latina,Latina,Italy
DLF,Laughlin Afb,Del Rio,United States
IFP,Laughlin Bullhead International Airport,Bullhead City,United States
LST,Launceston,Launceston,Australia
BED,Laurence G Hanscom Fld,Bedford,United States
CRU,Lauriston Airport,Carriacou Island,Grenada
JOI,Lauro Carneiro De Loyola,Joinville,Brazil
PFB,Lauro Kurtz,Passo Fundo,Brazil
LVO,Laverton Airport,\N,Australia
LWY,Lawas Airport,Lawas,Malaysia
POZ,Lawica,Poznan,Poland
LSF,Lawson Aaf,Fort Benning,United States
LAW,Lawton-Fort Sill Regional Airport,Lawton,United States
LZC,Lazaro Cardenas,Lazard Cardenas,Mexico
LBG,Le Bourget,Paris,France
CTT,Le Castellet,Le Castellet,France
FDF,Le Lamentin,Fort-de-france,Martinique
TLN,Le Palyvestre,Hyeres,France
CET,Le Pontreau,Cholet,France
PTP,Le Raizet,Pointe-a-pitre,Guadeloupe
LBI,Le Sequestre,Albi,France
LTQ,Le Touquet Paris Plage,Le Tourquet,France
HOB,Lea Co Rgnl,Hobbs,United States
LEB,Lebanon Municipal Airport,Lebanon,United States
LCC,Lecce,Lecce,Italy
GDN,Lecha Walesy,Gdansk,Poland
LBA,Leeds Bradford,Leeds,United Kingdom
LWR,Leeuwarden,Leeuwarden,Netherlands
LGP,Legazpi,Legazpi,Philippines
IXL,Leh,Leh,India
ABE,Lehigh Valley Intl,Allentown,United States
LER,Leinster Airport,\N,Australia
LEJ,Leipzig Halle,Leipzig,Germany
VDB,Leirin,Fagernes,Norway
RAO,Leite Lopes,Ribeirao Preto,Brazil
LKN,Leknes Airport,Leknes,Norway
NLC,Lemoore Nas,Lemoore,United States
JAL,Lencero Airport,\N,Mexico
LBV,Leon M Ba,Libreville,Gabon
LEN,Leon,Leon,Spain
LNO,Leonora Airport,Leonora,Australia
DKR,Leopold Sedar Senghor Intl,Dakar,Senegal
LRS,Leros,Leros,Greece
LWK,Lerwick / Tingwall Airport,Lerwick,United Kingdom
EDM,Les Ajoncs,La Roche-sur-yon,France
GBJ,Les Bases Airport,Grand Bourg,Guadeloupe
LIL,Lesquin,Lille,France
YYZ,Lester B Pearson Intl,Toronto,Canada
YQL,Lethbridge,Lethbridge,Canada
LTM,Lethem,Lethem,Guyana
ADX,Leuchars,Leuchars,United Kingdom
CUF,Levaldigi,Levaldigi,Italy
LEV,Levuka Airfield,Levuka,Fiji
LWS,Lewiston Nez Perce Co,Lewiston,United States
LWT,Lewistown Municipal Airport,Lewistown,United States
LXA,Lhasa-Gonggar,Lhasa,China
LRH,Lherm,La Rochelle,France
KWL,Liangjiang,Guilin,China
LYG,Lianyungang Airport,Lianyungang,China
LBL,Liberal Muni,Liberal,United States
TLC,Licenciado Adolfo Lopez Mateos Intl,Toluca,Mexico
MEX,Licenciado Benito Juarez Intl,Mexico City,Mexico
PVR,Licenciado Gustavo Diaz Ordaz Intl,Puerto Vallarta,Mexico
MID,Licenciado Manuel Crescencio Rejon Int,Merida,Mexico
UPN,Licenciado Y Gen Ignacio Lopez Rayon,Uruapan,Mexico
VXC,Lichinga,Lichinga,Mozambique
LDK,Lidkoping,Lidkoping,Sweden
LGG,Liege,Liege,Belgium
LPX,Liepaja Intl,Liepaja,Latvia
LIF,Lifou,Lifou,New Caledonia
HPA,Lifuka Island Airport,Lifuka,Tonga
LHG,Lightning Ridge Airport,\N,Australia
LIH,Lihue,Lihue,United States
LJG,Lijiang Airport,Lijiang,China
LIK,Likiep Airport,Likiep Island,Marshall Islands
IXI,Lilabari,Lilabari,India
LMN,Limbang,Limbang,Malaysia
LXS,Limnos,Limnos,Greece
LIO,Limon Intl,Limon,Costa Rica
TLD,Limpopo Valley Airport,Tuli Lodge,Botswana
LIN,Linate,Milan,Italy
LNK,Lincoln,Lincoln,United States
LIP,Lins,Lins,Brazil
LNZ,Linz,Linz,Austria
LPK,Lipetsk Airport,Lipetsk,Russia
LIQ,Lisala,Lisala,Congo (Kinshasa)
LIS,Lisboa,Lisbon,Portugal
NGB,Lishe,Ninbo,China
LSY,Lismore Airport,\N,Australia
FAN,Lista,Lista,Norway
LRF,Little Rock Afb,Jacksonville,United States
TAO,Liuting,Qingdao,China
LPL,Liverpool,Liverpool,United Kingdom
LVI,Livingstone,Livingstone,Zambia
LJU,Ljubljana,Ljubliana,Slovenia
YLL,Lloydminster,Lloydminster,Canada
IRG,Lockhart River Airport,\N,Australia
LJA,Lodja Airport,Lodja,Congo (Kinshasa)
LOK,Lodwar,Lodwar,Kenya
LOE,Loei,Loei,Thailand
RJL,LogroÃ±o-Agoncillo Airport,\N,Spain
LIW,Loikaw Airport,Loikaw,Burma
LKG,Lokichoggio Airport,Lokichoggio,Kenya
GAU,Lokpriya Gopinath Bordoloi International Airport,Guwahati,India
LNV,Londolovit Airport,Londolovit,Papua New Guinea
YXU,London,London,Canada
LDY,Londonderry Eglinton,Londonderry,United Kingdom
LDB,Londrina,Londrina,Brazil
CXO,Lone Star Executive,Conroe,United States
LPU,Long Apung Airport,Long Apung-Borneo Island,Indonesia
LBP,Long Banga Airport,Long Banga,Malaysia
LBW,Long Bawan Airport,Long Bawan-Borneo Island,Indonesia
LGB,Long Beach,Long Beach,United States
ISP,Long Island Mac Arthur,Islip,United States
LGL,Long Lellang Airport,Long Datih,Malaysia
ODN,Long Seridan Airport,Long Seridan,Malaysia
LOD,Longana Airport,Longana,Vanuatu
KWE,Longdongbao,Guiyang,China
LRE,Longreach Airport,\N,Australia
DIJ,Longvic,Dijon,France
LYR,Longyear,Svalbard,Svalbard
LNE,Lonorore Airport,Lonorore,Vanuatu
LPS,Lopez Island Airport,Lopez,United States
LDH,Lord Howe Island Airport,\N,Australia
LTO,Loreto Intl,Loreto,Mexico
LAX,Los Angeles Intl,Los Angeles,United States
SJD,Los Cabos Intl,San Jose Del Cabo,Mexico
MTR,Los Garzones,Monteria,Colombia
LMO,Lossiemouth,Lossiemouth,United Kingdom
LSA,Losuia Airport,Losuia,Papua New Guinea
DIS,Loubomo Airport,Loubomo,Congo (Brazzaville)
LPY,Loudes,Le Puy,France
MSY,Louis Armstrong New Orleans Intl,New Orleans,United States
SDF,Louisville International Airport,Louisville,United States
YBX,Lourdes De Blanc Sablon Airport,Lourdes-De-Blanc-Sablon,Canada
LDE,Lourdes,Tarbes,France
CHA,Lovell Fld,Chattanooga,United States
KWG,Lozuvatka International Airport,\N,Ukraine
LAD,Luanda 4 De Fevereiro,Luanda,Angola
LXG,Luang Namtha,Luang Namtha,Laos
LPQ,Luang Phabang Intl,Luang Prabang,Laos
SDD,Lubango,Lubango,Angola
LBB,Lubbock Preston Smith Intl,Lubbock,United States
LBC,Lubeck Blankensee,Luebeck,Germany
FBM,Lubumbashi Intl,Lubumashi,Congo (Kinshasa)
LKO,Lucknow,Lucknow,India
LUD,Luderitz Airport,Luderitz,Namibia
LUH,Ludhiana,Ludhiaha,India
LUO,Luena,Luena,Angola
LUG,Lugano,Lugano,Switzerland
VSG,Luhansk International Airport,\N,Ukraine
SJU,Luis Munoz Marin Intl,San Juan,Puerto Rico
LUF,Luke Afb,Phoenix,United States
LUA,Lukla,Lukla,Nepal
NKG,Lukou,Nanjing,China
HFE,Luogang,Hefei,China
LYA,Luoyang Airport,Luoyang,China
MLA,Luqa,Malta,Malta
LUN,Lusaka Intl,Lusaka,Zambia
LTN,Luton,London,United Kingdom
YSG,Lutselk'e Airport,Lutselk'e,Canada
LUX,Luxembourg,Luxemburg,Luxembourg
LXR,Luxor Intl,Luxor,Egypt
LZO,Luzhou Airport,Luzhou,China
LWO,Lviv Intl,Lvov,Ukraine
LYC,Lycksele,Lycksele,Sweden
LYX,Lydd,Lydd,United Kingdom
LYH,Lynchburg Regional Preston Glenn Field,Lynchburg,United States
NAS,Lynden Pindling Intl,Nassau,Bahamas
LYE,Lyneham,Lyneham,United Kingdom
YYL,Lynn Lake,Lynn Lake,Canada
GNI,Lyudao,Green Island,Taiwan
BTS,M R Stefanik,Bratislava,Slovakia
MST,Maastricht,Maastricht,Netherlands
UBB,Mabuiag Island Airport,Mabuiag Island,Australia
MCP,Macapa,Macapa,Brazil
MFM,Macau Intl,Macau,Macau
MEA,MacaÃ© Airport,MacaÃ©,Brazil
MCF,Macdill Afb,Tampa,United States
MKY,Mackay,Mackay,Australia
NOP,Mactan Cebu Intl,Masbate,Philippines
MAG,Madang,Madang,Papua New Guinea
FNC,Madeira,Funchal,Portugal
IXM,Madurai,Madurai,India
HGN,Mae Hong Son,Mae Hong Son,Thailand
MAQ,Mae Sot Airport,\N,Thailand
MFA,Mafia,Mafia Island,Tanzania
MBO,Mafikeng,Mmabatho,South Africa
GEA,Magenta,Noumea,New Caledonia
TWF,Magic Valley Regional Airport,Twin Falls,United States
MQF,Magnitogorsk,Magnetiogorsk,Russia
MZG,Magong,Makung,Taiwan
MWQ,Magwe,Magwe,Burma
RPN,Mahanaim I Ben Yaakov,Rosh Pina,Israel
EUG,Mahlon Sweet Fld,Redding,United States
MRX,Mahshahr,Bandar Mahshahr,Iran
MIU,Maiduguri,Maiduguri,Nigeria
MMZ,Maimana,Maimama,Afghanistan
SBG,Maimun Saleh,Sabang,Indonesia
MXT,Maintirano Airport,Maintirano,Madagascar
MMO,Maio,Maio,Cape Verde
MJE,Majkin Airport,Majkin,Marshall Islands
VAG,Major Brigadeiro Trompowsky,Varginha,Brazil
GVT,Majors,Greenvile,United States
MQX,Makale,Makale,Ethiopia
SKG,Makedonia,Thessaloniki,Greece
MKP,Makemo,Makemo,French Polynesia
YMN,Makkovik Airport,Makkovik,Canada
MKU,Makokou,Makokou,Gabon
MDI,Makurdi,Makurdi,Nigeria
SSG,Malabo,Malabo,Equatorial Guinea
MKZ,Malacca,Malacca,Malaysia
AGP,Malaga,Malaga,Spain
MAK,Malakal,Malakal,Sudan
AAM,Malamala Airport,Malamala,South Africa
MEG,Malanje,Malanje,Angola
LGS,Malargue,Malargue,Argentina
MLE,Male Intl,Male,Maldives
ARD,Mali Airport,Alor Island,Indonesia
LSW,Malikus Saleh Airport,Lhok Seumawe-Sumatra Island,Indonesia
MYD,Malindi Airport,Malindi,Kenya
KAN,Mallam Aminu Intl,Kano,Nigeria
MAV,Maloelap Island Airport,Maloelap Island,Marshall Islands
PTF,Malolo Lailai Island Airport,Malolo Lailai Island,Fiji
MXP,Malpensa,Milano,Italy
WMP,Mampikony Airport,Mampikony,Madagascar
MJC,Man,Man,Cote d'Ivoire
MNF,Mana Island Airport,Mana Island,Fiji
MGA,Managua Intl,Managua,Nicaragua
WVK,Manakara,Manakara,Madagascar
NGX,Manang,Manang,Nepal
MNJ,Mananjary,Mananjary,Madagascar
TEU,Manapouri,Manapouri,New Zealand
FRU,Manas,Bishkek,Kyrgyzstan
MHT,Manchester Regional Airport,Manchester NH,United States
MAN,Manchester,Manchester,United Kingdom
MDL,Mandalay Intl,Mandalay,Burma
CEQ,Mandelieu,Cannes,France
WMA,Mandritsara Airport,Mandritsara,Madagascar
MGS,Mangaia Island Airport,Mangaia Island,Cook Islands
IXE,Mangalore,Mangalore,India
LUM,Mangshi Airport,Luxi,China
MHK,Manhattan Reigonal,Manhattan,United States
XMH,Manihi,Manihi,French Polynesia
MHX,Manihiki Island Airport,Manihiki Island,Cook Islands
JSU,Maniitsoq Airport,Maniitsoq,Greenland
MNG,Maningrida Airport,\N,Australia
YMW,Maniwaki,Maniwaki,Canada
MJA,Manja Airport,Manja,Madagascar
MHG,Mannheim City,Mannheim,Germany
MFD,Mansfield Lahm Regional,Mansfield,United States
MSE,Manston,Manston,United Kingdom
AJY,Manu Dayak,Agadez,Niger
MXS,Maota Airport,Savaii Island,Samoa
MPM,Maputo,Maputo,Mozambique
ZCO,Maquehue,Temuco,Chile
MDQ,Mar Del Plata,Mar Del Plata,Argentina
MAB,Maraba,Maraba,Brazil
MFG,Maradi,Maradi,Niger
RUS,Marau Airport,Marau,Solomon Islands
RIV,March Arb,Riverside,United States
RDZ,Marcillac,Rodez,France
PAC,Marcos A Gelabert Intl,Panama,Panama
MEE,Mare,Mare,New Caledonia
SLZ,Marechal Cunha Machado Intl,Sao Luis,Brazil
CGB,Marechal Rondon,Cuiaba,Brazil
MGH,Margate,Margate,South Africa
KNF,Marham,Marham,United Kingdom
LSQ,Maria Dolores,Los Angeles,Chile
BRX,Maria Montez Intl,Barahona,Dominican Republic
NZA,Maria Reiche Neuman Airport,\N,Peru
GAO,Mariana Grajales,Guantanamo,Cuba
MBX,Maribor,Maribor,Slovenia
MHQ,Mariehamn,Mariehamn,Finland
EBA,Marina Di Campo,Marina Di Campo,Italy
OAR,Marina Muni,Fort Ord,United States
MOC,Mario Ribeiro,Montes Claros,Brazil
CUE,Mariscal Lamar,Cuenca,Ecuador
UIO,Mariscal Sucre Intl,Quito,Ecuador
MPW,Mariupol International Airport,\N,Ukraine
ADJ,Marka Intl,Amman,Jordan
WMN,Maroantsetra,Maroantsetra,Madagascar
MCY,Maroochydore Sunshine Coast,Maroochydore,Australia
RMF,Marsa Alam Intl,Marsa Alam,Egypt
MHH,Marsh Harbour,Marsh Harbor,Bahamas
FRI,Marshall Aaf,Fort Riley,United States
MAJ,Marshall Islands Intl,Majuro,Marshall Islands
MVY,Martha\\'s Vineyard,Vineyard Haven MA,United States
MUR,Marudi,Marudi,Malaysia
YMH,Mary's Harbour Airport,Mary's Harbour,Canada
MBH,Maryborough Airport,\N,Australia
MII,MarÃ­lia Airport,MarÃ­lia,Brazil
MBT,Masbate Airport,Masbate,Philippines
MHD,Mashhad,Mashhad,Iran
MSH,Masirah,Masirah,Oman
MSW,Massawa Intl,Massawa,Eritrea
MSS,Massena Intl Richards Fld,Massena,United States
ZMT,Masset Airport,Masset,Canada
MRO,Masterton,Masterton,New Zealand
MVZ,Masvingo Intl,Masvingo,Zimbabwe
YNM,Matagami,Matagami,Canada
MVT,Mataiva,Mataiva,French Polynesia
IRP,Matari,Isiro,Congo (Kinshasa)
IPC,Mataveri Intl,Easter Island,Chile
PEI,Matecana,Pereira,Colombia
TVU,Matei Airport,Matei,Fiji
MTS,Matsapha,Manzini,Swaziland
MFK,Matsu Beigan Airport,Matsu Islands,Taiwan
LZN,Matsu Nangan Airport,Matsu Islands,Taiwan
MMJ,Matsumoto,Matsumoto,Japan
MYJ,Matsuyama,Matsuyama,Japan
IGA,Matthew Town,Matthew Town,Bahamas
MUN,Maturin,Maturin,Venezuela
WGP,Mau Hau,Waingapu,Indonesia
MUK,Mauke Airport,Mauke Island,Cook Islands
MUB,Maun,Maun,Botswana
CER,Maupertus,Cherbourg,France
MAU,Maupiti,Maupiti,French Polynesia
MNU,Mawlamyine Airport,Mawlamyine,Burma
AVI,Maximo Gomez,Ciego De Avila,Cuba
MXF,Maxwell Afb,Montgomery,United States
BZV,Maya Maya,Brazzaville,Congo (Kinshasa)
MYG,Mayaguana,Mayaguana,Bahamas
YMA,Mayo,Mayo,Canada
STD,Mayor Buenaventura Vivas,Santo Domingo,Venezuela
CJA,Mayor General FAP Armando Revoredo Iglesias Airport,Cajamarca,Peru
DCM,Mazamet,Castres,France
MZR,Mazar I Sharif,Mazar-i-sharif,Afghanistan
MDK,Mbandaka,Mbandaka,Congo (Kinshasa)
SSY,Mbanza Congo,M'banza-congo,Angola
MBS,Mbs Intl,Saginaw,United States
MJM,Mbuji Mayi,Mbuji-mayi,Congo (Kinshasa)
MLC,Mc Alester Rgnl,Mcalester,United States
MFE,Mc Allen Miller Intl,Mcallen,United States
LAS,Mc Carran Intl,Las Vegas,United States
TCM,Mc Chord Afb,Tacoma,United States
MCC,Mc Clellan Afld,Sacramento,United States
IAB,Mc Connell Afb,Wichita,United States
TYS,Mc Ghee Tyson,Knoxville,United States
WRI,Mc Guire Afb,Wrightstown,United States
MKL,Mc Kellar Sipes Rgnl,Jackson,United States
MMV,Mc Minnville Muni,Mackminnville,United States
MCV,McArthur River Mine Airport,\N,Australia
CLD,McClellan-Palomar Airport,Carlsbad,United States
MCG,McGrath Airport,Mcgrath,United States
YLJ,Meadow Lake,Meadow Lake,Canada
BFL,Meadows Fld,Bakersfield,United States
YXH,Medicine Hat,Medicine Hat,Canada
RYN,Medis,Royan,France
MPL,Mediterranee,Montpellier,France
MKR,Meekatharra Airport,\N,Australia
KVA,Megas Alexandros Intl,Kavala,Greece
MEY,Meghauli Airport,Meghauli,Nepal
THR,Mehrabad Intl,Teheran,Iran
HAK,Meilan,Haikou,China
MXZ,Meixian Airport,Meixian,China
MJB,Mejit Atoll Airport,Mejit Atoll,Marshall Islands
MEB,Melbourne Essendon,Melbourne,Australia
MEL,Melbourne Intl,Melbourne,Australia
MLB,Melbourne Intl,Melbourne,United States
MBW,Melbourne Moorabbin,Melbourne,Australia
MLN,Melilla,Melilla,Spain
DOM,Melville Hall,Dominica,Dominica
MMB,Memanbetsu,Memanbetsu,Japan
FMM,Memmingen Allgau,Memmingen Allgau,Germany
HOT,Memorial Field,Hot Springs,United States
MEM,Memphis Intl,Memphis,United States
RAK,Menara,Marrakech,Morocco
